Id,Label
583,Art Phillips
584,Francesco Spinacino
585,Yoko Kanno
586,Michael Salvatori
587,Thomas Robinson
588,Henning Christiansen
589,Alvin Lucier
590,Gerald Finzi
591,Robert Graham Manson
592,Jean-Joseph Cassanéa de Mondonville
593,Johann Philipp Krieger
594,Tan Dun
595,Sérgio Azevedo
596,Luka Sorkočević
597,Maurice Greene
598,Ruth Lomon
599,John Holmes
600,Orlando Gibbons
601,Bill McGlaughlin
602,Barbara Strozzi
603,Richard Zarou
604,Bernd Alois Zimmermann
605,Johannes de Stokem
606,Jean-Baptiste Krumpholz
607,Nigel Clarke
608,Yuvan Shankar Raja
609,Maki Ishii
610,Filipe da Madre de Deus
611,Mihail Jora
612,Nigel Butterley
613,Johann Joseph Fux
614,Jan Koetsier
615,Herbert Brün
616,Heiner Goebbels
617,Harold Budd
618,David Foster
619,Václav Pichl
620,Harold Gramatges
621,Franz Biebl
622,George Linley
623,Christian Friedrich Witt
624,Adam de la Halle
625,Johannes Tapissier
626,Grigoras Dinicu
627,Pierre Dumage
628,Tomas Svoboda
629,Agostino Steffani
630,Arthur Bliss
631,Christoph Willibald Gluck
632,Steve Tittle
633,Beat Furrer
634,Gian Paolo Chiti
635,José de Nebra
636,Charles Racquet
637,Giacomo Meyerbeer
638,Philippe Verdelot
639,Sebastian Aguilera de Heredia
640,William Henry Holmes
641,László Sáry
642,Hans Judenkönig
643,Henry Purcell
644,Giovanni Priuli
645,Ernesto Nazareth
646,Michel de la Barre
647,Guillaume Lekeu
648,Ellis B. Kohs
649,Heino Eller
650,Daron Hagen
651,Gaspar Fernandes
652,Akira Ifukube
653,Hamilton Harty
654,Erwin Schulhoff
655,Yoritsune Matsudaira
656,František Xaver Pokorný
657,Heinz Holliger
658,Michelagnolo Galilei
659,Luigi Rossi
660,Bedřich Smetana
661,Elodie Lauten
662,Cornelius Canis
663,Peter Joseph von Lindpaintner
664,Percy Grainger
665,Louis-Antoine Dornel
666,Girolamo Parabosco
667,Ignaz Assmayer
668,Luís de Freitas Branco
669,Jean-Baptiste Forqueray
670,Giovanni Sollima
671,Joachim Raff
672,Amadeo Roldán
673,Alexander Gretchaninov
674,Egil Hovland
675,Paul Manz
676,Friedrich Kuhlau
677,Franchinus Gaffurius
678,Alexander Abramsky
679,Marbrianus de Orto
680,Maurice Delage
681,Vittorio Giannini
682,Steve Martland
683,Lorant Hajdu
684,Adam Jarzębski
685,James Penberthy
686,Johann Mattheson
687,Burt Bacharach
688,Bartolomeo Tromboncino
689,Roger Smalley
690,John Corigliano
691,Julia Tsenova
692,Carl Davis
693,Daniel Kellogg
694,Luca Marenzio
695,Richard Allison
696,Walter Taieb
697,Saint Tuotilo
698,Anthony Holborne
699,Paweł Szymański
700,Gordon McPherson
701,Carlos Chávez
702,Pehr Henrik Nordgren
703,Edgard Varèse
704,Camilla de Rossi
705,Thomas Appleby
706,Albertus Parisiensis
707,Gregory Short
708,Mesías Maiguashca
709,Lodovico Giustini
710,Arne Nordheim
711,Gilles Jullien
712,Tom Johnson
713,Karl von Ordoñez
714,Francesco Turini
715,Norbert Walter Peters
716,Paul Dolden
717,Pascal Bentoiu
718,Lorenzo da Firenze
719,Joe Cutler
720,Juan Vásquez
721,William Lawes
722,Jacobus Gallus
723,Neidhart von Reuental
724,Giovanni Battista Viotti
725,Ingram Marshall
726,Felix Blumenfeld
727,Howard Skempton
728,Monsieur de Sainte-Colombe
729,Khosrovidukht
730,Johann Strauss II
731,Jacques Calonne
732,John Cooper
733,Antonio Salieri
734,Gaspare Spontini
735,Walter Bricht
736,George Flynn
737,Anton Eberl
738,Alessandro Rolla
739,Matthew Locke
740,Ciaran Farrell
741,Servaes de Koninck
742,Kenneth Atchley
743,Mauro Giuliani
744,Aram Khachaturian
745,Donald Keats
746,Michel Richard Delalande
747,Fritz Bovet
748,Cecil Effinger
749,Harold Truscott
750,Vinko Globokar
751,"Alfonso X, King of Castile"
752,William Smith
753,Fanny Mendelssohn
754,Colinet de Lannoy
755,Goffredo Petrassi
756,Valentin Gheorghiu
757,Johann Gottlieb Graun
758,Johannes Schenck
759,Adriano Banchieri
760,Gábor Darvas
761,Dimitri Terzakis
762,Cesare Negri
763,Jacobus Barbireau
764,Bartolomeo degli Organi
765,Rahbani brothers
766,Thomas Ravenscroft
767,George Frideric Handel
768,Vladimir Tarnopolsky
769,Armand-Louis Couperin
770,Rolf Liebermann
771,Oswald von Wolkenstein
772,"Ferdinand III, Holy Roman Emperor"
773,Gustav Düben
774,Jakub Polak
775,Obadiah Shuttleworth
776,Domenico Gabrielli
777,Mark Lothar
778,Paul Paray
779,Marc Blitzstein
780,Dionisio Aguado
781,Nigel Westlake
782,Heinrich Schütz
783,Niels Wilhelm Gade
784,Johann Baptist Vanhal
785,François Couperin
786,Franz Paul Lachner
787,Jan Pieterszoon Sweelinck
788,John Stafford Smith
789,Galina Ustvolskaya
790,Jan Francisci
791,Alan Theisen
792,Isaac Albéniz
793,Antoine de Févin
794,Paul Lincke
795,Jacques Hétu
796,Karl Gottfried Brunotte
797,Alexander Moyzes
798,Harvey Worthington Loomis
799,Jeffrey Lewis
800,Winfried Michel
801,Richard Einhorn
802,Igor Markevitch
803,Augustyn Bloch
804,Duarte Lobo
805,Antonín Dvořák
806,"Easley Blackwood, Jr."
807,Eric Gaudibert
808,Leo Ornstein
809,Georgia Spiropoulos
810,Krešimir Baranović
811,Brian Eno
812,Fabrizio Dentice
813,Andrei Eshpai
814,Ludovico Einaudi
815,Niels Viggo Bentzon
816,Ernest John Moeran
817,John Bull
818,Charles Wesley junior
819,Perdigon
820,Eric Gross
821,Francis Poulenc
822,Bartolomé de Escobedo
823,Carlo Pallavicino
824,Eve Beglarian
825,Božidar Kantušer
826,Ezequiel Viñao
827,Takashi Yoshimatsu
828,Mateo Flecha the elder
829,Carolina Oliphant
830,Gilbert Banester
831,Paul Siefert
832,Antoine Brumel
833,Andrew Lloyd Webber
834,Francesco Mancini
835,Siegfried Alkan
836,Samuel Maykapar
837,Giovanni da Firenze
838,Dan Welcher
839,Guillaume Legrant
840,Dorian Le Gallienne
841,Francesco Bartolomeo Conti
842,Teo Macero
843,Giselher Klebe
844,Christian Cannabich
845,Eric Whitacre
846,Lucien Goethals
847,David Amram
848,Antonio da Cividale
849,Jean-Baptiste Bréval
850,Camille Saint-Saëns
851,György Ligeti
852,Thomas Simaku
853,Edison Denisov
854,Giuseppe Sarti
855,Wadada Leo Smith
856,Elmer Bernstein
857,Giuseppe Sammartini
858,Yevstigney Fomin
859,Dennis Berry
860,Chiara Margarita Cozzolani
861,Luise Adelgunda Gottsched
862,Sara Carvalho
863,Daniel Catán
864,Srul Irving Glick
865,Benedetto Marcello
866,Wilhelm Peterson-Berger
867,Rudolph Palm
868,Clarence Lucas
869,Francesco Corbetta
870,John Cale
871,Alphons Diepenbrock
872,Stanisław Sylwester Szarzyński
873,Andi Spicer
874,Richard Rodney Bennett
875,Ennio Morricone
876,Bernhard Henrik Crusell
877,Ernest Chausson
878,Stuart MacRae
879,Juan Orrego-Salas
880,Jean-Baptiste Duvernoy
881,Thomas Selle
882,Serge Tcherepnin
883,Harry Partch
884,František Tůma
885,Ralf Gothoni
886,Errollyn Wallen
887,Alfio Fazio
888,Johann Christian Lobe
889,Ian Wilson
890,Paul Bowles
891,Dudley Simpson
892,Antonio Cesti
893,Antonio Il Verso
894,Avo Sõmer
895,Vernon Duke
896,Joby Talbot
897,Estêvão de Brito
898,Richard Rodgers
899,Marchetto Cara
900,Leopold Hofmann
901,Vittoria Aleotti
902,Jacopo da Bologna
903,Antoine Boësset
904,Iván Eröd
905,Maria de Ventadorn
906,Alfonso Leng
907,Charles Martin Loeffler
908,Charles Camilleri
909,Franz Anton Hoffmeister
910,Jean-Marie Leclair
911,Zygmunt Krauze
912,Roy Harris
913,Volker David Kirchner
914,Donald Martino
915,Pancrace Royer
916,Ch'eng Mao-yün
917,Maroie de Dregnau de Lille
918,Hermann Finck
919,Pierre-Joseph-Guillaume Zimmermann
920,Pieter Bustijn
921,Aulis Sallinen
922,Carl Heinrich Biber
923,Charles Tournemire
924,Niccolò Castiglioni
925,Alexander Mosolov
926,Nicolas Hotman
927,Nikolai Kapustin
928,François Joseph Gossec
929,Luigi Boccherini
930,Ernesto Rodrigues
931,John Cage
932,Frédéric Durieux
933,York Bowen
934,Boris Böhmann
935,Greg Sandow
936,Tibor Szemző
937,Tomaso Albinoni
938,Randall Thompson
939,Luther Orlando Emerson
940,Emma Lou Diemer
941,Hector Berlioz
942,Fred Raymond
943,Kaikhosru Shapurji Sorabji
944,Andrea Molino
945,Jacques Féréol Mazas
946,Anthony Gatto
947,Benjamin Britten
948,Paolo Agostino
949,Gardner Read
950,John Anthony Lennon
951,Ilayaraaja
952,David Bruce
953,Daniel Bacheler
954,Slavko Avsenik
955,Hugo de Lantins
956,Eino Tamberg
957,Maria Margherita Grimani
958,Azalais de Porcairages
959,Jarosław Kukulski
960,Spencer Williams
961,Lodovico Agostini
962,Petar Bergamo
963,Robert Morton
964,Cécile Chaminade
965,Per Nørgård
966,Edgar Thomas Cook
967,Martin O'Donnell
968,Jānis Ivanovs
969,Ray Reach
970,Antonio Veracini
971,F. R. C. Clarke
972,Thomas Linley the younger
973,Hendrik Bouman
974,James Dillon
975,Amy Beach
976,Johannes Brassart
977,Franz Lehár
978,Alla Pavlova
979,Sébastien de Brossard
980,Johann Gottlieb Goldberg
981,Bent Sørensen
982,Juan Carlos Paz
983,Charles-Valentin Alkan
984,Jorge Liderman
985,Sebestyén Tinódi Lantos
986,Cyril Scott
987,Morten Lauridsen
988,Boris Mykolayovich Lyatoshyns'ky
989,Emily Hall
990,Nico Muhly
991,Miriam Hyde
992,Craig Armstrong
993,Richard Addinsell
994,Wenzel Muller
995,Henry Eichheim
996,Pietro Antonio Fiocco
997,Hermann of Reichenau
998,Georg Reutter
999,Gaetano Brunetti
1000,Nicolaus A. Huber
1001,Ludwig Wenzel Lachnith
1002,Christopher Gibbons
1003,Ernani Aguiar
1004,Steven Sivyer
1005,Sylvio Lazzari
1006,Giovanni Bassano
1007,Doina Rotaru
1008,Athenaeus son of Athenaeus
1009,David Sawer
1010,Johann Bernhard Bach (the younger)
1011,Pierre Guédron
1012,John Garth
1013,Toshio Hosokawa
1014,Louis Joseph Ferdinand Herold
1015,Adreana Basile
1016,Jacques-Christophe Naudot
1017,Jean-Xavier Lefèvre
1018,Alfred La Liberté
1019,Charles Dieupart
1020,Leon Kirchner
1021,Catya Maré
1022,Suzanne Ciani
1023,Ferdinando Richardson
1024,Reynaldo Hahn
1025,Mart Saar
1026,George Gershwin
1027,Jan Hanuš
1028,Carlo Cecere
1029,Benjamin Frankel
1030,Nicolas Bacri
1031,Ferdinando Paer
1032,William Alwyn
1033,Joseph Fitzmartin
1034,Hugh Aston
1035,Pablo de Sarasate
1036,Juan de Anchieta
1037,Francisco Tárrega
1038,Robert Schumann
1039,Gustav Holst
1040,Alexander Taneyev
1041,Gustavo Santaolalla
1042,Franz Surges
1043,Pierre Robert
1044,Louis Antoine Jullien
1045,Thomas Preston
1046,Peter Dickinson
1047,Egidius de Francia
1048,Thomas Crecquillon
1049,Fernando García
1050,Noel Bauldeweyn
1051,Marc Lavry
1052,Frederik Magle
1053,Juan Hidalgo de Polanco
1054,Pierre-Alexandre Monsigny
1055,Georges Dandelot
1056,Joseph Martin Kraus
1057,Alla Zahaikevych
1058,Marc-André Hamelin
1059,Xavier Montsalvatge
1060,David Del Tredici
1061,Antonio Maria Abbatini
1062,Egardus
1063,Jean-François Le Sueur
1064,Robert Farnon
1065,Petri Kuljuntausta
1066,István Anhalt
1067,Charles-Hubert Gervais
1068,Pavel Wranitzky
1069,Nicholas Lanier
1070,John Abell
1071,Johann Anton Losy
1072,Joly Braga Santos
1073,Joan Pau Pujol
1074,Gareth Farr
1075,Constantine Koukias
1076,László Melis
1077,Jean Barrière
1078,Marcel Grandjany
1079,Arkady Filippenko
1080,Örjan Sandred
1081,Attilio Ariosti
1082,Tobias Hume
1083,Ricardo Castro
1084,Pascal Dusapin
1085,Lorenz Lemlin
1086,Johann Schein
1087,David Blake
1088,Johann Andreas Herbst
1089,Giaches de Wert
1090,Alfred Schnittke
1091,Johann Samuel Drese
1092,Emilie Hammarskjöld
1093,Alexander Agricola
1094,Christophe Bertrand
1095,Louis-Claude Daquin
1096,Jean-Baptiste Loeillet
1097,Matthaeus Pipelare
1098,Åke Parmerud
1099,Laura Schwendinger
1100,Libby Larsen
1101,Antonia Bembo
1102,Jacques Brel
1103,Jacques Arcadelt
1104,August Kühnel
1105,Alan Bush
1106,Stephen Dodgson
1107,Joachim Albertini
1108,Francisco Guerrero
1109,'Blue' Gene Tyranny
1110,Barry Conyngham
1111,Donnacha Dennehy
1112,Wassili Leps
1113,Gioachino Rossini
1114,Lodovico Grossi da Viadana
1115,Bryan Kelly
1116,Harold Shapero
1117,Paul Dirmeikis
1118,Gianmatteo Asola
1119,Tibors de Sarenom
1120,Giuseppe Lillo
1121,Ned Bouhalassa
1122,Henry Abyngdon
1123,Eugen D'Albert
1124,Elliott Carter
1125,Carlos Surinach
1126,Oskar Lindberg
1127,Antonín Kraft
1128,Richard Barth
1129,Juan Bautista José Cabanilles
1130,Michael Alcorn
1131,Franghiz Ali-Zadeh
1132,Roxanne Turcotte
1133,Jacques de Saint-Luc
1134,John Casken
1135,Peter Eötvös
1136,Josina Anna Petronella van Boetzelaer
1137,Ennemond Gaultier
1138,Ruth Crawford Seeger
1139,Heinrich Baermann
1140,William O. Smith
1141,Luigi Nono
1142,Gunnar Berg
1143,Zdeněk Fibich
1144,Qu Xiao-Song
1145,Earl Wild
1146,Ernő Dohnányi
1147,Robert Parsons
1148,Richard Teitelbaum
1149,Domenico Zipoli
1150,Engelbert Humperdinck
1151,Louis Grabu
1152,Bernard Herrmann
1153,Maggi Payne
1154,James Wood
1155,Hans Pfitzner
1156,Charles-Marie Widor
1157,Joaquín Turina
1158,Vyacheslav Nagovitsyn
1159,Aldo Clementi
1160,Nicolaus Zacharie
1161,Giovanni Battista Riccio
1162,Ramon Sender
1163,Jan Bach
1164,Nicolas Slonimsky
1165,Rodney Waschka II
1166,Georges Aperghis
1167,Ippolito Chamaterò
